,xopt,P0,W_total,W_reactor1,W_reactor2,W_reactor3,Temperature_reactor1,Temperature_reactor2,Temperature_reactor3,final_X
4,"[4.78299414e-01 9.08986743e-01 9.89984240e-01 1.35658125e+03
 1.35302734e+03 1.34286059e+03]",2.0,60240.0,5136.0,17592.0,37524.0,1356.5812506561135,1353.0273383302326,1342.8605911015622,0.9000009614927225
1,"[6.01293487e-01 9.23476592e-01 9.90000000e-01 1.30708272e+03
 1.37551332e+03 1.35865132e+03]",2.0,57228.0,9828.0,16152.0,31248.0,1307.0827167008867,1375.513319800052,1358.6513207385804,0.9000040412783061
0,"[5.65348454e-01 9.54764943e-01 9.90000000e-01 1.32357544e+03
 1.36379218e+03 1.36595047e+03]",2.0,55704.0,7944.0,19176.0,28584.0,1323.5754439614163,1363.7921815254938,1365.950469037846,0.9000032026613207
3,"[5.38675243e-01 9.68501996e-01 9.90000000e-01 1.33445838e+03
 1.35835778e+03 1.36732351e+03]",2.0,55476.0,6876.0,20484.0,28116.0,1334.4583828137859,1358.3577824050394,1367.3235137541449,0.9000057282551313
2,"[5.61525040e-01 9.68596981e-01 9.90000000e-01 1.32486842e+03
 1.37135267e+03 1.36617881e+03]",2.0,55176.0,7800.0,18864.0,28524.0,1324.8684172204985,1371.3526675878786,1366.178813456575,0.9000133894669426
5,"[5.17318039e-01 9.01272594e-01 9.90000000e-01 1.33761452e+03
 1.38298720e+03 1.33609929e+03]",3.0,38964.0,4644.0,8868.0,25464.0,1337.6145166904814,1382.987201222622,1336.099290838861,0.900006748385427
6,"[5.94563749e-01 9.51478799e-01 9.90000000e-01 1.29205990e+03
 1.39521999e+03 1.35991927e+03]",3.0,36552.0,8400.0,9384.0,18780.0,1292.0598977110626,1395.2199926258875,1359.9192748146822,0.9000106552464398
8,"[5.31024260e-01 9.70306035e-01 9.87923667e-01 1.29798865e+03
 1.33815545e+03 1.37585416e+03]",4.0,28452.0,5952.0,11844.0,10656.0,1297.9886491053237,1338.155453273112,1375.8541557102892,0.9000950533037666
7,"[5.09359442e-01 9.14066670e-01 9.89662997e-01 1.33464648e+03
 1.36367779e+03 1.34584568e+03]",4.0,28092.0,3816.0,8316.0,16188.0,1334.6464761409602,1363.6777901254784,1345.84568264677,0.9004596505673914
9,"[4.59221142e-01 9.27400541e-01 9.90000000e-01 1.31865437e+03
 1.38139243e+03 1.33780673e+03]",5.0,23340.0,3660.0,5412.0,14268.0,1318.6543650650647,1381.392432441955,1337.8067316059999,0.9000215420329398
10,"[4.88977984e-01 9.72001834e-01 9.90000000e-01 1.34129946e+03
 1.34608464e+03 1.36587983e+03]",5.0,20892.0,2652.0,9312.0,14088.0,1341.299458426132,1346.0846386529292,1365.8798290203545,0.9141942679141453
11,"[5.14507663e-01 9.78441238e-01 9.90000000e-01 1.34611005e+03
 1.34981671e+03 1.36903891e+03]",6.0,16932.0,2556.0,6672.0,7704.0,1346.110047729345,1349.8167092863796,1369.0389089177688,0.9000111514656348
14,"[4.50234442e-01 9.60586120e-01 9.83650773e-01 1.37267005e+03
 1.31360013e+03 1.35943545e+03]",7.0,16548.0,1656.0,7596.0,7320.0,1372.6700538614466,1313.600130077871,1359.4354462504675,0.9002838000437832
15,"[6.03492061e-01 9.12931377e-01 9.90000000e-01 1.29058518e+03
 1.40851084e+03 1.34524946e+03]",7.0,15324.0,4932.0,3156.0,7248.0,1290.5851838697356,1408.5108400690272,1345.2494580650846,0.9000444238463374
12,"[5.76883881e-01 9.76399944e-01 9.77125431e-01 1.30840610e+03
 1.34263829e+03 1.33244618e+03]",6.0,15108.0,4212.0,7956.0,11976.0,1308.40610328342,1342.638292176157,1332.4461811810354,0.9154903472883671
13,"[4.78512299e-01 9.13605905e-01 9.89967011e-01 1.35523964e+03
 1.34741530e+03 1.34289694e+03]",7.0,14628.0,2028.0,5112.0,7488.0,1355.239637176948,1347.4152984503057,1342.8969360724957,0.9018644247496173
16,"[5.38874663e-01 9.90000000e-01 9.90000000e-01 1.33559602e+03
 1.34725801e+03 1.37746469e+03]",7.0,14496.0,2664.0,6096.0,5748.0,1335.5960162017652,1347.2580089251717,1377.4646851424027,0.900026460625083
17,"[5.79909733e-01 9.75529062e-01 9.90000000e-01 1.30098483e+03
 1.36280694e+03 1.33423741e+03]",8.0,11412.0,3888.0,4668.0,2856.0,1300.9848321388588,1362.8069425675674,1334.2374110598728,0.921500432126299
19,"[5.42562061e-01 9.46194397e-01 9.76779760e-01 1.32901822e+03
 1.39376210e+03 1.33180124e+03]",11.0,11244.0,2244.0,2340.0,6684.0,1329.0182152633329,1393.7621024474429,1331.8012359551087,0.900032350574492
18,"[5.37307364e-01 9.77470897e-01 9.90000000e-01 1.33525685e+03
 1.36028546e+03 1.36800691e+03]",10.0,10392.0,2196.0,3672.0,4692.0,1335.256849629109,1360.285463309446,1368.0069079593993,0.9013314595926609
21,"[4.57330926e-01 9.90000000e-01 9.90000000e-01 1.36970395e+03
 1.33906231e+03 1.36627695e+03]",12.0,8628.0,1272.0,3468.0,3900.0,1369.703945197769,1339.062311828964,1366.2769538154662,0.9000251791949894
23,"[4.90538460e-01 8.99647850e-01 9.90000000e-01 1.35856140e+03
 1.34359850e+03 1.34461728e+03]",14.0,8460.0,1368.0,2616.0,4500.0,1358.5614027365593,1343.59850244927,1344.6172777405689,0.900268199584987
20,"[5.14583343e-01 9.36186971e-01 9.90000000e-01 1.34638995e+03
 1.37244094e+03 1.34847863e+03]",12.0,8352.0,1740.0,2568.0,4896.0,1346.3899500227433,1372.440943304956,1348.4786312689016,0.9003757351322286
25,"[5.06127674e-01 9.64757147e-01 9.90000000e-01 1.34531385e+03
 1.34218552e+03 1.36733004e+03]",14.0,7812.0,1596.0,2940.0,3276.0,1345.3138488828567,1342.1855199110591,1367.3300433937588,0.9000068093290168
27,"[5.46372496e-01 9.58777234e-01 9.89988748e-01 1.33074827e+03
 1.31964847e+03 1.38051248e+03]",16.0,7596.0,1848.0,3444.0,2328.0,1330.748269516894,1319.6484687179238,1380.5124835455752,0.9001978167201217
22,"[5.03379092e-01 9.87524446e-01 9.90000000e-01 1.34688671e+03
 1.36346306e+03 1.36426803e+03]",14.0,7452.0,1572.0,2460.0,3432.0,1346.8867129813818,1363.463055692115,1364.2680266079576,0.9000782677803756
26,"[5.07147782e-01 9.46980853e-01 9.88953086e-01 1.35143629e+03
 1.37701197e+03 1.34687228e+03]",15.0,7428.0,1452.0,1908.0,4080.0,1351.4362857753079,1377.01196523564,1346.872277891713,0.9001266956953278
28,"[4.57525161e-01 9.17663033e-01 9.89967209e-01 1.36950427e+03
 1.35851504e+03 1.33910584e+03]",16.0,7284.0,1104.0,1956.0,4224.0,1369.5042674473805,1358.5150431737338,1339.1058405666736,0.9000598015653396
24,"[5.02372959e-01 9.51670425e-01 9.89578642e-01 1.34895198e+03
 1.37715817e+03 1.34840987e+03]",14.0,7164.0,1524.0,2052.0,3588.0,1348.9519765487466,1377.1581732794734,1348.4098718966675,0.9000388070781771
